time_sec,cpu_pct,mem_pct,gpu_pct,gpu_mem_pct,interval_fps,rtt_ms
1,15.4,72.7,0,0,0,0.0
2,2.5,73.2,0,0,0,0.0
3,0.0,73.0,0,0,0,0.0
4,0.0,73.0,0,0,0,0.0
5,2.6,72.9,0,0,0,0.0
6,0.0,72.9,0,0,0,0.0
7,2.5,72.8,0,0,0,0.0
8,2.5,72.8,0,0,0,0.0
9,2.5,72.7,0,0,0,0.0
10,0.0,72.7,0,0,0,0.0
11,0.0,72.7,0,0,0,0.0
12,0.0,72.6,0,0,0,0.0
13,2.4,72.6,0,0,0,0.0
14,0.0,72.6,0,0,0,0.0
15,2.4,72.5,0,0,0,0.0
16,0.0,72.4,0,0,0,0.0
17,0.0,72.4,0,0,0,0.0
18,2.5,72.4,0,0,0,0.0
19,0.0,72.4,0,0,0,0.0
20,0.0,72.4,0,0,0,0.0
21,0.0,72.4,0,0,0,0.0
22,0.0,72.4,0,0,0,0.0
23,0.0,72.4,0,0,0,0.0
24,0.0,72.4,0,0,0,0.0
25,0.0,72.4,0,0,0,0.0
26,2.4,72.4,0,0,0,0.0
27,0.0,72.4,0,0,0,0.0
28,2.5,72.4,0,0,0,0.0
29,0.0,72.4,0,0,0,0.0
30,0.0,72.4,0,0,0,0.0
31,0.0,72.4,0,0,0,0.0
32,0.0,72.4,0,0,0,0.0
33,0.0,72.4,0,0,0,0.0
34,0.0,72.4,0,0,0,0.0
35,0.0,72.4,0,0,0,0.0
36,0.0,72.4,0,0,0,0.0
37,0.0,72.3,0,0,0,0.0
38,0.0,72.3,0,0,0,0.0
39,0.0,72.4,0,0,0,0.0
40,2.4,72.4,0,0,0,0.0
41,2.4,72.4,0,0,0,0.0
42,0.0,72.4,0,0,0,0.0
43,2.4,72.4,0,0,0,0.0
44,0.0,72.4,0,0,0,0.0
45,2.4,72.4,0,0,0,0.0
46,2.4,72.4,0,0,0,0.0
47,0.0,72.4,0,0,0,0.0
48,0.0,72.4,0,0,0,0.0
49,0.0,72.4,0,0,0,0.0
50,13.5,73.0,0,0,0,0.0
51,7.3,72.9,0,0,0,0.0
52,0.0,72.8,0,0,0,0.0
53,2.4,72.6,0,0,0,0.0
54,13.2,72.7,0,0,0,0.0
55,2.4,72.7,0,0,0,0.0
