time_sec,cpu_pct,mem_pct,gpu_pct,gpu_mem_pct,interval_fps,rtt_ms
1,24.3,78.8,0,0,0,0.0
2,12.8,77.5,0,0,0,0.0
3,15.0,77.3,0,0,0,0.0
4,4.9,77.0,0,0,0,0.0
5,7.3,76.8,0,0,0,0.0
6,12.8,76.7,0,0,0,0.0
7,2.5,76.5,0,0,0,0.0
8,15.0,76.4,0,0,0,0.0
9,4.9,76.3,0,0,0,0.0
10,2.6,76.2,0,0,0,0.0
11,15.0,76.0,0,0,0,0.0
12,2.5,76.0,0,0,0,0.0
13,15.0,75.9,0,0,0,0.0
14,4.9,75.9,0,0,0,0.0
15,5.0,75.8,0,0,0,0.0
16,19.5,75.7,0,0,0,0.0
17,7.1,75.7,0,0,0,0.0
18,13.2,75.7,0,0,0,0.0
19,4.9,75.6,0,0,0,0.0
20,7.3,75.6,0,0,0,0.0
21,12.8,75.6,0,0,0,0.0
22,2.5,75.4,0,0,0,0.0
23,15.0,75.4,0,0,0,0.0
24,2.5,75.4,0,0,0,0.0
25,5.0,75.3,0,0,0,0.0
26,16.7,75.3,0,0,0,0.0
27,2.5,75.3,0,0,0,0.0
28,15.4,75.3,0,0,0,0.0
29,2.4,75.3,0,0,0,0.0
30,7.5,75.3,0,0,0,0.0
31,20.5,75.3,0,0,0,0.0
32,0.0,75.3,0,0,0,0.0
33,24.4,75.3,0,0,0,0.0
34,2.5,75.2,0,0,0,0.0
35,5.0,75.2,0,0,0,0.0
36,12.5,75.2,0,0,0,0.0
37,2.5,75.2,0,0,0,0.0
38,19.5,75.2,0,0,0,0.0
39,2.5,75.2,0,0,0,0.0
40,17.1,76.5,0,0,0,0.0
41,2.5,76.3,0,0,0,0.0
42,14.3,75.8,0,0,0,0.0
43,17.1,76.0,0,0,0,0.0
44,25.0,76.1,0,0,0,0.0
45,48.6,76.1,0,0,0,0.0
46,0.0,76.0,0,0,0,0.0
47,5.0,75.8,0,0,0,0.0
48,15.0,75.8,0,0,0,0.0
49,0.0,75.8,0,0,0,0.0
50,19.0,75.7,0,0,0,0.0
51,4.9,75.6,0,0,0,0.0
52,7.3,75.6,0,0,0,0.0
53,10.0,75.6,0,0,0,0.0
54,7.3,75.6,0,0,0,0.0
55,12.5,75.5,0,0,0,0.0
