time_sec,cpu_pct,mem_pct,gpu_pct,gpu_mem_pct,interval_fps,rtt_ms
1,22.5,76.9,0,0,0,0.0
2,5.0,76.8,0,0,0,0.0
3,5.0,76.7,0,0,0,0.0
4,14.6,76.6,0,0,0,0.0
5,4.9,76.6,0,0,0,0.0
6,17.1,76.4,0,0,0,0.0
7,0.0,76.3,0,0,0,0.0
8,5.0,76.3,0,0,0,0.0
9,12.5,76.2,0,0,0,0.0
10,2.5,76.2,0,0,0,0.0
11,15.0,76.2,0,0,0,0.0
12,0.0,76.1,0,0,0,0.0
13,5.0,76.1,0,0,0,0.0
14,12.5,76.1,0,0,0,0.0
15,2.6,76.1,0,0,0,0.0
16,15.0,76.1,0,0,0,0.0
17,7.3,76.1,0,0,0,0.0
18,7.3,76.0,0,0,0,0.0
19,10.5,76.0,0,0,0,0.0
20,4.9,76.0,0,0,0,0.0
21,15.4,76.0,0,0,0,0.0
22,7.3,76.0,0,0,0,0.0
23,7.3,76.0,0,0,0,0.0
24,12.5,76.0,0,0,0,0.0
25,2.5,76.0,0,0,0,0.0
26,12.5,76.0,0,0,0,0.0
27,0.0,76.0,0,0,0,0.0
28,5.0,76.0,0,0,0,0.0
29,14.6,76.0,0,0,0,0.0
30,2.5,75.9,0,0,0,0.0
31,15.0,75.9,0,0,0,0.0
32,0.0,75.9,0,0,0,0.0
33,7.3,75.9,0,0,0,0.0
34,12.5,75.9,0,0,0,0.0
35,0.0,75.9,0,0,0,0.0
36,12.8,75.9,0,0,0,0.0
37,2.4,75.9,0,0,0,0.0
38,9.5,75.9,0,0,0,0.0
39,12.8,75.9,0,0,0,0.0
40,0.0,75.9,0,0,0,0.0
41,19.0,75.9,0,0,0,0.0
42,2.5,76.0,0,0,0,0.0
43,5.0,76.0,0,0,0,0.0
44,15.0,75.9,0,0,0,0.0
45,2.6,75.9,0,0,0,0.0
46,15.0,75.9,0,0,0,0.0
47,0.0,75.9,0,0,0,0.0
48,5.0,75.9,0,0,0,0.0
49,15.0,75.9,0,0,0,0.0
50,0.0,75.9,0,0,0,0.0
51,13.2,75.9,0,0,0,0.0
52,2.6,75.9,0,0,0,0.0
53,2.6,75.9,0,0,0,0.0
54,15.0,75.9,0,0,0,0.0
55,0.0,75.8,0,0,0,0.0
