time_sec,cpu_pct,mem_pct,gpu_pct,gpu_mem_pct,interval_fps,rtt_ms
1,16.3,78.0,0,0,0,0.0
2,15.0,77.7,0,0,0,0.0
3,2.5,77.4,0,0,0,0.0
4,15.0,77.3,0,0,0,0.0
5,0.0,77.3,0,0,0,0.0
6,12.2,77.2,0,0,0,0.0
7,7.9,77.2,0,0,0,0.0
8,2.4,77.5,0,0,0,0.0
9,15.0,77.5,0,0,0,0.0
10,4.9,77.4,0,0,0,0.0
11,9.8,77.4,0,0,0,0.0
12,10.0,77.3,0,0,0,0.0
13,2.6,77.3,0,0,0,0.0
14,20.9,77.3,0,0,0,0.0
15,0.0,77.2,0,0,0,0.0
16,9.8,77.1,0,0,0,0.0
17,7.5,77.1,0,0,0,0.0
18,2.6,77.0,0,0,0,0.0
19,15.0,77.2,0,0,0,0.0
20,2.5,77.2,0,0,0,0.0
21,7.5,77.2,0,0,0,0.0
22,12.5,77.2,0,0,0,0.0
23,2.5,77.1,0,0,0,0.0
24,12.8,77.1,0,0,0,0.0
25,2.5,77.0,0,0,0,0.0
26,5.1,76.9,0,0,0,0.0
27,16.7,76.9,0,0,0,0.0
28,2.5,76.9,0,0,0,0.0
29,12.8,76.8,0,0,0,0.0
30,2.5,76.8,0,0,0,0.0
31,9.8,76.8,0,0,0,0.0
32,10.0,76.8,0,0,0,0.0
33,2.5,76.8,0,0,0,0.0
34,15.0,76.8,0,0,0,0.0
35,0.0,76.8,0,0,0,0.0
36,7.5,76.8,0,0,0,0.0
37,10.5,76.8,0,0,0,0.0
38,2.5,76.8,0,0,0,0.0
39,15.0,76.7,0,0,0,0.0
40,5.0,76.7,0,0,0,0.0
41,9.8,76.7,0,0,0,0.0
42,12.2,76.7,0,0,0,0.0
43,2.5,76.7,0,0,0,0.0
44,15.0,76.7,0,0,0,0.0
45,2.5,76.7,0,0,0,0.0
46,7.5,76.7,0,0,0,0.0
47,10.0,76.7,0,0,0,0.0
48,2.5,76.7,0,0,0,0.0
49,20.9,76.7,0,0,0,0.0
50,0.0,76.7,0,0,0,0.0
51,5.1,76.7,0,0,0,0.0
52,12.5,76.7,0,0,0,0.0
53,4.9,76.7,0,0,0,0.0
54,12.8,76.7,0,0,0,0.0
55,0.0,76.7,0,0,0,0.0
