time_sec,cpu_pct,mem_pct,gpu_pct,gpu_mem_pct,interval_fps,rtt_ms
1,5.1,79.5,0,0,0,0.0
2,5.0,79.3,0,0,0,0.0
3,0.0,79.3,0,0,0,0.0
4,2.5,78.9,0,0,0,0.0
5,0.0,78.6,0,0,0,0.0
6,0.0,78.6,0,0,0,0.0
7,0.0,78.4,0,0,0,0.0
8,2.5,78.4,0,0,0,0.0
9,2.5,78.3,0,0,0,0.0
10,2.4,78.2,0,0,0,0.0
11,0.0,78.2,0,0,0,0.0
12,0.0,78.1,0,0,0,0.0
13,2.5,78.1,0,0,0,0.0
14,2.5,78.1,0,0,0,0.0
15,5.0,78.0,0,0,0,0.0
16,0.0,78.0,0,0,0,0.0
17,0.0,78.0,0,0,0,0.0
18,0.0,78.0,0,0,0,0.0
19,2.6,78.0,0,0,0,0.0
20,2.4,78.0,0,0,0,0.0
21,0.0,78.0,0,0,0,0.0
22,0.0,78.0,0,0,0,0.0
23,0.0,78.0,0,0,0,0.0
24,2.4,77.9,0,0,0,0.0
25,2.5,77.9,0,0,0,0.0
26,0.0,77.7,0,0,0,0.0
27,2.5,77.7,0,0,0,0.0
28,0.0,77.7,0,0,0,0.0
29,0.0,77.7,0,0,0,0.0
30,0.0,77.6,0,0,0,0.0
31,2.5,77.6,0,0,0,0.0
32,2.4,77.6,0,0,0,0.0
33,0.0,77.6,0,0,0,0.0
34,2.4,77.6,0,0,0,0.0
35,2.5,77.6,0,0,0,0.0
36,0.0,77.6,0,0,0,0.0
37,4.9,77.6,0,0,0,0.0
38,0.0,77.6,0,0,0,0.0
39,2.4,77.6,0,0,0,0.0
40,0.0,77.6,0,0,0,0.0
41,2.4,77.6,0,0,0,0.0
42,2.4,77.6,0,0,0,0.0
43,4.9,77.6,0,0,0,0.0
44,0.0,77.6,0,0,0,0.0
45,4.9,77.6,0,0,0,0.0
46,2.5,77.6,0,0,0,0.0
47,4.9,77.6,0,0,0,0.0
48,0.0,77.6,0,0,0,0.0
49,2.5,77.6,0,0,0,0.0
50,2.5,77.6,0,0,0,0.0
51,2.5,77.6,0,0,0,0.0
52,2.4,77.6,0,0,0,0.0
53,0.0,77.6,0,0,0,0.0
54,2.4,77.7,0,0,0,0.0
55,0.0,77.7,0,0,0,0.0
