time_sec,cpu_pct,mem_pct,gpu_pct,gpu_mem_pct,interval_fps,rtt_ms
1,5.0,80.7,0,0,0,0.0
2,0.0,79.4,0,0,0,0.0
3,2.5,79.2,0,0,0,0.0
4,15.0,78.9,0,0,0,0.0
5,10.0,79.0,0,0,0,0.0
6,2.5,79.0,0,0,0,0.0
7,4.9,78.8,0,0,0,0.0
8,0.0,78.6,0,0,0,0.0
9,0.0,78.5,0,0,0,0.0
10,2.6,79.0,0,0,0,0.0
11,7.5,79.2,0,0,0,0.0
12,4.9,79.1,0,0,0,0.0
13,2.5,79.0,0,0,0,0.0
14,0.0,79.0,0,0,0,0.0
15,2.5,78.8,0,0,0,0.0
16,0.0,78.8,0,0,0,0.0
17,0.0,78.8,0,0,0,0.0
18,0.0,78.7,0,0,0,0.0
19,0.0,78.7,0,0,0,0.0
20,0.0,78.7,0,0,0,0.0
21,14.6,78.2,0,0,0,0.0
22,2.5,78.3,0,0,0,0.0
23,88.4,77.6,0,0,0,0.0
24,21.4,77.6,0,0,0,0.0
25,4.8,82.7,0,0,0,0.0
26,2.5,82.7,0,0,0,0.0
27,9.8,81.0,0,0,0,0.0
28,17.1,81.0,0,0,0,0.0
29,12.8,80.8,0,0,0,0.0
30,2.6,80.7,0,0,0,0.0
31,0.0,80.5,0,0,0,0.0
32,4.9,80.1,0,0,0,0.0
33,0.0,80.0,0,0,0,0.0
34,7.9,79.8,0,0,0,0.0
35,7.5,79.7,0,0,0,0.0
36,4.9,79.6,0,0,0,0.0
37,2.5,79.6,0,0,0,0.0
38,7.9,79.5,0,0,0,0.0
39,0.0,79.4,0,0,0,0.0
40,10.0,79.3,0,0,0,0.0
41,2.5,79.2,0,0,0,0.0
42,2.5,79.2,0,0,0,0.0
43,0.0,79.2,0,0,0,0.0
44,0.0,79.1,0,0,0,0.0
45,19.5,79.1,0,0,0,0.0
46,17.1,79.0,0,0,0,0.0
47,7.3,79.0,0,0,0,0.0
48,35.0,79.0,0,0,0,0.0
49,8.3,80.0,0,0,0,0.0
50,12.8,80.1,0,0,0,0.0
51,2.4,79.8,0,0,0,0.0
52,43.6,80.5,0,0,0,0.0
53,2.5,80.2,0,0,0,0.0
54,2.6,80.1,0,0,0,0.0
55,0.0,79.9,0,0,0,0.0
