time_sec,cpu_pct,mem_pct,gpu_pct,gpu_mem_pct,interval_fps,rtt_ms
1,102.6,12.622591048412026,0.0,0,13,0.0
2,101.7,12.622591048412026,55.8,0,11,0.0
3,103.7,12.622642312244931,9.9,0,10,0.0
4,103.7,12.622642312244931,50.1,0,11,0.0
5,101.8,12.622642312244931,0.0,0,11,0.0
6,103.4,12.622642312244931,58.9,0,11,0.0
7,103.3,12.622796103743644,40.6,0,12,0.0
8,102.8,12.622796103743644,4.3,0,10,0.0
9,103.8,12.622796103743644,43.0,0,9,0.0
10,102.9,12.622796103743644,7.4,0,9,0.0
11,102.8,12.622847367576547,35.9,0,9,0.0
12,102.8,12.622847367576547,53.4,0,9,0.0
13,102.8,12.623411269738499,18.6,0,9,0.0
14,103.8,12.623411269738499,10.1,0,9,0.0
15,102.8,12.623411269738499,18.3,0,9,0.0
16,102.8,12.623411269738499,20.6,0,9,0.0
17,102.8,12.623411269738499,54.6,0,8,0.0
18,101.7,12.623975171900447,0.0,0,8,0.0
19,103.8,12.623975171900447,18.5,0,7,0.0
20,102.8,12.623975171900447,18.7,0,7,0.0
21,101.8,12.623975171900447,38.8,0,7,0.0
22,101.8,12.623975171900447,17.8,0,6,0.0
23,102.8,12.623975171900447,23.5,0,7,0.0
24,102.8,12.623975171900447,19.1,0,6,0.0
25,101.8,12.623975171900447,2.2,0,7,0.0
26,103.8,12.623975171900447,0.0,0,9,0.0
27,102.8,12.624128963399162,21.0,0,8,0.0
28,102.8,12.624128963399162,35.2,0,8,0.0
29,101.8,12.624128963399162,54.6,0,8,0.0
30,102.7,12.624128963399162,18.4,0,8,0.0
31,104.7,12.624128963399162,59.1,0,9,0.0
32,103.6,12.624128963399162,1.6,0,9,0.0
33,102.6,12.624128963399162,18.3,0,9,0.0
34,103.7,12.624128963399162,18.6,0,9,0.0
35,102.5,12.624128963399162,0.0,0,9,0.0
36,102.7,12.624128963399162,55.5,0,9,0.0
37,102.7,12.624128963399162,56.1,0,9,0.0
38,101.7,12.624128963399162,56.3,0,9,0.0
39,102.7,12.624128963399162,55.2,0,10,0.0
40,102.8,12.624128963399162,10.2,0,10,0.0
41,101.7,12.624128963399162,30.7,0,9,0.0
42,103.7,12.626230780548244,2.7,0,9,0.0
43,102.8,12.626230780548244,18.7,0,8,0.0
44,102.7,12.626230780548244,1.7,0,9,0.0
45,103.7,12.626230780548244,4.3,0,10,0.0
46,104.7,12.626230780548244,17.1,0,10,0.0
47,104.7,12.626230780548244,2.3,0,10,0.0
48,105.7,12.626230780548244,40.9,0,9,0.0
49,104.7,12.626230780548244,1.2,0,9,0.0
50,105.8,12.62787122320119,57.3,0,9,0.0
51,104.7,12.62787122320119,51.7,0,9,0.0
52,105.7,12.62787122320119,17.5,0,10,0.0
53,103.7,12.62787122320119,3.5,0,10,0.0
54,103.7,12.62787122320119,59.1,0,9,0.0
55,104.5,12.62787122320119,36.1,0,9,0.0
56,104.8,12.62787122320119,18.5,0,9,0.0
57,104.7,12.62787122320119,41.0,0,9,0.0
58,104.7,12.62787122320119,5.3,0,9,0.0
59,104.7,12.62787122320119,42.8,0,10,0.0
60,11.0,12.62787122320119,0.0,0,1,0.0
