time_sec,cpu_pct,mem_pct,gpu_pct,gpu_mem_pct,interval_fps,rtt_ms
1,65.0,80.6,0,0,1,0.0
2,51.3,81.0,0,0,3,0.0
3,44.7,81.2,0,0,3,0.0
4,42.5,81.0,0,0,3,0.0
5,47.6,80.9,0,0,3,0.0
6,48.8,81.1,0,0,3,0.0
7,50.0,81.3,0,0,3,0.0
8,53.8,80.8,0,0,3,0.0
9,54.8,80.7,0,0,3,0.0
10,52.5,80.6,0,0,3,0.0
11,50.0,80.6,0,0,3,0.0
12,51.2,80.4,0,0,3,0.0
13,47.5,80.3,0,0,3,0.0
14,50.0,80.3,0,0,3,0.0
15,45.0,80.3,0,0,3,0.0
16,44.7,80.2,0,0,4,0.0
17,48.8,80.4,0,0,3,0.0
18,44.4,81.2,0,0,3,0.0
19,57.1,81.4,0,0,3,0.0
20,50.0,81.2,0,0,3,0.0
21,51.2,81.0,0,0,3,0.0
22,52.6,80.7,0,0,3,0.0
23,53.5,80.5,0,0,3,0.0
24,45.9,80.5,0,0,3,0.0
25,42.1,80.4,0,0,4,0.0
26,45.0,80.9,0,0,3,0.0
27,51.4,80.3,0,0,3,0.0
28,51.2,80.2,0,0,3,0.0
29,55.0,80.2,0,0,3,0.0
30,43.2,80.2,0,0,3,0.0
31,47.5,80.1,0,0,3,0.0
32,51.2,80.1,0,0,4,0.0
33,51.3,80.0,0,0,3,0.0
34,51.3,79.9,0,0,3,0.0
35,50.0,80.0,0,0,3,0.0
36,50.0,80.2,0,0,3,0.0
37,48.8,80.9,0,0,3,0.0
38,46.3,81.2,0,0,3,0.0
39,46.2,81.1,0,0,4,0.0
40,51.3,81.1,0,0,3,0.0
41,53.8,81.4,0,0,3,0.0
42,51.2,81.0,0,0,3,0.0
43,51.2,80.8,0,0,3,0.0
44,47.2,80.5,0,0,3,0.0
45,47.5,80.4,0,0,3,0.0
46,42.5,80.3,0,0,3,0.0
47,50.0,80.2,0,0,4,0.0
48,53.8,80.0,0,0,3,0.0
49,47.4,80.0,0,0,3,0.0
50,50.0,79.9,0,0,3,0.0
51,50.0,79.9,0,0,3,0.0
52,53.5,79.9,0,0,3,0.0
53,50.0,79.8,0,0,3,0.0
54,47.6,79.9,0,0,4,0.0
55,0.0,79.8,0,0,2,0.0
