time_sec,cpu_pct,mem_pct,gpu_pct,gpu_mem_pct,interval_fps,rtt_ms
1,61.5,73.3,0,0,1,0.0
2,52.4,72.7,0,0,3,0.0
3,48.7,72.9,0,0,2,0.0
4,50.0,73.2,0,0,3,0.0
5,48.6,73.4,0,0,3,0.0
6,59.1,73.5,0,0,3,0.0
7,56.1,73.0,0,0,3,0.0
8,56.4,72.7,0,0,3,0.0
9,52.6,72.9,0,0,3,0.0
10,57.5,72.6,0,0,3,0.0
11,54.8,72.4,0,0,3,0.0
12,50.0,72.7,0,0,3,0.0
13,52.5,72.8,0,0,3,0.0
14,45.0,73.0,0,0,3,0.0
15,50.0,72.9,0,0,3,0.0
16,69.2,73.1,0,0,3,0.0
17,50.0,72.8,0,0,3,0.0
18,46.2,72.7,0,0,3,0.0
19,47.5,72.6,0,0,3,0.0
20,42.1,72.6,0,0,4,0.0
21,48.7,72.4,0,0,3,0.0
22,51.3,72.5,0,0,3,0.0
23,51.2,72.4,0,0,3,0.0
24,53.8,72.2,0,0,3,0.0
25,44.7,72.2,0,0,3,0.0
26,50.0,72.3,0,0,3,0.0
27,48.7,72.1,0,0,3,0.0
28,48.7,72.2,0,0,3,0.0
29,47.6,72.4,0,0,4,0.0
30,62.5,72.5,0,0,3,0.0
31,53.8,72.4,0,0,2,0.0
32,47.5,72.5,0,0,4,0.0
33,52.4,72.3,0,0,3,0.0
34,50.0,72.1,0,0,3,0.0
35,51.3,72.2,0,0,3,0.0
36,50.0,72.2,0,0,3,0.0
37,48.8,72.4,0,0,3,0.0
38,47.5,72.3,0,0,3,0.0
39,48.8,72.2,0,0,4,0.0
40,72.5,72.3,0,0,3,0.0
41,50.0,72.7,0,0,3,0.0
42,52.4,72.8,0,0,3,0.0
43,53.7,72.5,0,0,3,0.0
44,44.7,72.2,0,0,3,0.0
45,50.0,72.1,0,0,4,0.0
46,52.5,72.3,0,0,3,0.0
47,66.7,72.2,0,0,3,0.0
48,48.6,72.6,0,0,2,0.0
49,46.3,72.6,0,0,3,0.0
50,56.1,72.6,0,0,3,0.0
51,51.2,72.4,0,0,3,0.0
52,75.6,72.6,0,0,3,0.0
53,47.6,73.0,0,0,3,0.0
54,53.7,73.0,0,0,3,0.0
55,0.0,71.9,0,0,2,0.0
