time_sec,cpu_pct,mem_pct,gpu_pct,gpu_mem_pct,interval_fps,rtt_ms
1,74.6,6.817935984801299,1.9,0,0,0.0
2,95.7,10.953748232038564,23.4,0,0,0.0
3,96.7,12.58629625471563,3.4,0,9,0.0
4,101.7,12.588141752700194,7.1,0,12,0.0
5,100.8,12.590448625180898,4.2,0,11,0.0
6,101.7,12.593165608324835,1.6,0,11,0.0
7,101.7,12.593165608324835,18.9,0,11,0.0
8,101.7,12.595216161641018,53.9,0,12,0.0
9,102.8,12.595216161641018,6.0,0,13,0.0
10,100.7,12.600752655594704,10.5,0,9,0.0
11,101.7,12.600752655594704,18.8,0,10,0.0
12,101.8,12.600752655594704,52.0,0,10,0.0
13,101.8,12.603264583407025,59.5,0,9,0.0
14,101.7,12.603264583407025,45.4,0,9,0.0
15,100.8,12.603264583407025,61.0,0,10,0.0
16,102.8,12.603264583407025,18.8,0,9,0.0
17,102.8,12.606289149548392,19.5,0,9,0.0
18,104.8,12.609672562520089,55.3,0,9,0.0
19,101.8,12.609672562520089,19.7,0,8,0.0
20,104.8,12.609672562520089,0.0,0,8,0.0
21,103.0,12.61618306929896,59.2,0,8,0.0
22,102.7,12.61618306929896,19.0,0,7,0.0
23,102.8,12.61618306929896,56.5,0,7,0.0
24,102.7,12.619412690771947,42.3,0,7,0.0
25,102.8,12.619412690771947,11.1,0,6,0.0
26,103.8,12.619412690771947,4.3,0,8,0.0
27,102.7,12.622642312244931,17.0,0,8,0.0
28,103.8,12.626025725216628,19.3,0,8,0.0
29,102.7,12.62935787435542,19.2,0,8,0.0
30,103.4,12.62935787435542,9.3,0,9,0.0
31,103.8,12.62935787435542,17.7,0,9,0.0
32,104.8,12.629819248851563,19.4,0,9,0.0
33,103.7,12.629819248851563,18.3,0,10,0.0
34,103.7,12.629819248851563,18.7,0,9,0.0
35,102.8,12.629819248851563,54.9,0,9,0.0
36,102.8,12.629819248851563,0.0,0,9,0.0
37,102.8,12.629819248851563,19.0,0,10,0.0
38,102.7,12.629819248851563,6.4,0,9,0.0
39,102.8,12.629819248851563,50.2,0,10,0.0
40,103.7,12.629819248851563,19.2,0,10,0.0
41,102.7,12.629819248851563,54.4,0,10,0.0
42,103.8,12.629819248851563,19.8,0,10,0.0
43,102.8,12.629819248851563,19.6,0,9,0.0
44,102.9,12.629819248851563,47.3,0,8,0.0
45,103.8,12.629819248851563,20.7,0,10,0.0
46,105.7,12.633151397990355,0.0,0,10,0.0
47,104.7,12.636534810962052,4.7,0,10,0.0
48,107.2,12.636534810962052,21.3,0,11,0.0
49,105.7,12.636534810962052,21.9,0,9,0.0
50,106.7,12.636534810962052,0.0,0,9,0.0
51,105.7,12.636534810962052,4.3,0,9,0.0
52,106.8,12.636534810962052,43.9,0,10,0.0
53,103.8,12.636534810962052,50.0,0,10,0.0
54,104.7,12.636534810962052,56.5,0,10,0.0
55,104.7,12.636534810962052,2.9,0,9,0.0
56,104.7,12.636534810962052,0.0,0,9,0.0
57,104.7,12.636534810962052,19.2,0,9,0.0
58,104.8,12.636534810962052,2.6,0,10,0.0
59,104.7,12.636534810962052,0.0,0,9,0.0
60,83.8,12.612081962666602,4.3,0,8,0.0
