time_sec,cpu_pct,mem_pct,gpu_pct,gpu_mem_pct,interval_fps,rtt_ms
1,200.9,5.304117195436884,0,0,2,0.0
2,192.9,5.363831651763903,0,0,2,0.0
3,203.8,5.303923317331927,0,0,3,0.0
4,204.9,5.326994811821911,0,0,3,0.0
5,204.4,5.370229629227512,0,0,2,0.0
6,202.8,5.308188635641,0,0,3,0.0
7,195.4,5.319433565728556,0,0,3,0.0
8,202.9,5.3219539810930065,0,0,2,0.0
9,200.9,5.31536212552444,0,0,3,0.0
10,200.9,5.334749936020225,0,0,3,0.0
11,207.9,5.377790875320868,0,0,2,0.0
12,197.9,5.323311127827712,0,0,3,0.0
13,202.9,5.352198965466433,0,0,3,0.0
14,200.9,5.391943976982792,0,0,2,0.0
