time_sec,cpu_pct,mem_pct,gpu_pct,gpu_mem_pct,interval_fps,rtt_ms
1,95.0,12.371808377843156,28.2,0,11,0.0
2,92.7,12.372372280005106,32.1,0,9,0.0
3,92.7,12.372372280005106,12.2,0,8,0.0
4,96.8,12.37242354383801,57.7,0,9,0.0
5,100.7,12.37242354383801,21.9,0,9,0.0
6,97.7,12.37242354383801,65.8,0,10,0.0
7,101.7,12.37242354383801,13.2,0,10,0.0
8,100.7,12.37242354383801,7.3,0,11,0.0
9,98.7,12.37242354383801,23.1,0,8,0.0
10,96.8,12.37242354383801,46.5,0,8,0.0
11,96.8,12.37252607150382,28.2,0,8,0.0
12,98.8,12.37252607150382,32.4,0,8,0.0
13,93.8,12.37252607150382,35.8,0,7,0.0
14,95.8,12.37252607150382,23.6,0,7,0.0
15,97.7,12.37252607150382,12.1,0,8,0.0
16,97.8,12.37252607150382,69.9,0,9,0.0
17,96.7,12.37252607150382,28.4,0,7,0.0
18,76.9,12.37252607150382,23.7,0,5,0.0
19,75.8,12.37252607150382,27.2,0,5,0.0
20,78.8,12.37252607150382,23.1,0,5,0.0
21,92.8,12.37252607150382,33.1,0,7,0.0
22,96.8,12.372577335336723,11.8,0,6,0.0
23,96.9,12.372577335336723,28.1,0,7,0.0
24,95.6,12.372577335336723,71.3,0,5,0.0
25,96.7,12.372577335336723,30.5,0,7,0.0
26,94.8,12.372577335336723,31.1,0,5,0.0
27,93.9,12.372577335336723,66.6,0,5,0.0
28,95.8,12.372577335336723,28.4,0,6,0.0
29,96.8,12.372628599169628,25.3,0,5,0.0
30,96.8,12.372628599169628,28.3,0,6,0.0
31,96.8,12.372782390668343,11.4,0,6,0.0
32,99.7,12.372782390668343,76.0,0,8,0.0
33,92.8,12.372782390668343,33.2,0,6,0.0
34,94.7,12.372782390668343,28.7,0,7,0.0
35,94.7,12.372782390668343,30.4,0,7,0.0
36,94.7,12.372782390668343,19.8,0,6,0.0
37,92.7,12.372782390668343,33.6,0,7,0.0
38,91.8,12.372782390668343,37.5,0,8,0.0
39,93.7,12.372782390668343,11.9,0,8,0.0
40,95.8,12.372782390668343,79.1,0,7,0.0
41,80.8,12.372782390668343,50.8,0,6,0.0
42,94.8,12.372782390668343,28.2,0,7,0.0
43,97.8,12.372782390668343,12.1,0,8,0.0
44,92.7,12.372782390668343,10.1,0,7,0.0
45,86.8,12.372782390668343,58.0,0,6,0.0
46,84.7,12.372782390668343,72.6,0,6,0.0
47,80.8,12.372782390668343,17.9,0,7,0.0
48,96.7,12.372782390668343,61.0,0,9,0.0
49,94.7,12.372782390668343,32.9,0,7,0.0
50,94.7,12.372782390668343,45.5,0,8,0.0
51,96.7,12.372782390668343,33.6,0,8,0.0
52,93.6,12.372782390668343,33.2,0,8,0.0
53,95.7,12.372782390668343,33.1,0,6,0.0
54,94.6,12.372782390668343,31.8,0,8,0.0
55,95.7,12.372782390668343,16.0,0,8,0.0
56,97.8,12.372782390668343,79.4,0,9,0.0
57,98.8,12.372782390668343,32.7,0,8,0.0
58,99.5,12.372782390668343,63.3,0,8,0.0
59,99.7,12.372782390668343,12.3,0,8,0.0
60,10.0,12.372372280005106,11.9,0,1,0.0
