time_sec,cpu_pct,mem_pct,gpu_pct,gpu_mem_pct,interval_fps,rtt_ms
1,104.0,34.73427135894782,0.0,0,0,0.0
2,106.6,34.14822322118344,0.0,0,0,0.0
3,109.0,34.14965860850477,0.0,0,0,0.0
4,133.5,33.63563615597124,0.0,0,0,0.0
5,419.6,37.035351026532624,0.0,0,0,0.0
6,232.0,38.60833047537465,0.0,0,0,17.010046647058825
7,226.1,38.62524754023314,49.7,0,0,20.024532522727274
8,237.6,38.63796097079346,19.1,0,0,19.4445754
9,237.1,38.63914003895026,15.2,0,0,11.838651276315789
10,260.6,38.64016531560835,3.3,0,0,13.796888349206352
11,268.7,40.399488797058275,6.5,0,1,19.83485397777778
12,273.1,41.638228055362895,5.3,0,6,18.013718145833334
13,265.8,43.092326675699354,6.1,0,3,19.25780702173913
14,255.9,42.770748651889356,14.7,0,5,17.939830416666666
15,246.2,43.5985057617985,5.2,0,1,19.11564963043478
16,264.6,43.4258491725761,32.9,0,7,23.140321461538463
17,232.3,43.35577151299564,7.4,0,1,16.39297267307692
18,282.1,42.58168763613752,7.3,0,5,22.160407170731705
19,224.7,43.126417124580854,12.5,0,2,17.900543380000002
20,290.3,43.21925592597092,35.4,0,6,21.949963214285713
21,203.2,43.26411177976237,10.7,0,2,18.535458333333334
22,278.3,43.279747248798245,2.5,0,5,23.020373189189186
23,219.6,42.766032379262136,6.3,0,2,21.80923690243903
24,300.6,43.28092631695505,2.4,0,6,21.699129268292683
25,222.4,42.93202467020695,13.5,0,2,17.453630557692307
26,291.2,42.8338031663619,51.8,0,6,22.36845623076923
27,236.7,43.524532050917294,13.5,0,2,17.962890180000002
28,269.1,43.10206680395121,7.9,0,6,23.598840666666664
29,258.3,43.09996498680213,17.4,0,3,18.49204824489796
30,249.2,42.29676325285424,41.1,0,4,21.591389390243904
31,252.3,43.413853435676444,16.1,0,3,17.84688964
32,276.9,43.1019130124525,11.2,0,6,19.426013021739134
33,221.2,43.08638007108243,4.4,0,2,20.83851413953488
34,274.8,43.076588678997666,13.1,0,6,19.372811533333334
35,247.8,43.12026546463231,5.6,0,2,19.95648651111111
36,271.3,43.07171861487174,7.1,0,6,22.66880124390244
37,213.4,43.196853630991654,3.6,0,2,17.8702547
38,287.3,43.07171861487174,3.5,0,6,20.301451755555554
39,243.7,43.07171861487174,4.4,0,2,19.090492152173912
40,266.5,43.0894046372238,8.2,0,6,20.184521886363633
41,243.5,43.88881284753675,14.4,0,1,18.6864265625
42,268.1,43.35628415132468,25.9,0,7,20.554291522727276
43,290.1,43.35520761083369,11.6,0,4,19.131827043478257
44,224.3,43.35520761083369,94.6,0,4,17.508123705882355
45,338.1,42.818372752657645,3.1,0,8,23.430499054054053
46,265.7,43.08694397324438,10.8,0,1,15.803788767857144
47,260.9,43.08694397324438,49.7,0,7,16.67469564814815
48,317.3,43.08704650091018,5.0,0,6,19.876873295454544
49,223.6,43.08704650091018,24.6,0,2,17.668851529411768
50,297.7,43.094069646018106,1.1,0,6,20.50805481395349
51,275.8,43.36238454744032,1.9,0,5,20.78779319512195
52,245.8,43.365767960412015,19.5,0,4,18.727437382978724
53,290.6,43.36581922424492,9.8,0,5,21.840959780487804
54,254.3,43.36581922424492,31.9,0,4,19.23718679166667
55,284.9,42.82821540857531,3.4,0,6,21.618886699999997
56,236.5,43.09647904616462,13.8,0,2,17.266518480769232
57,279.1,43.09755558665561,24.0,0,6,18.739800888888887
58,257.3,42.47951881715883,14.9,0,3,22.61403394871795
59,317.2,44.11744954229086,12.9,0,8,34.660213285714285
60,121.5,32.831101562367834,1.6,0,5,0.0
