time_sec,cpu_pct,mem_pct,gpu_pct,gpu_mem_pct,interval_fps,rtt_ms
1,96.4,7.4401763885962575,8.5,0,0,0.0
2,102.7,12.419893853107586,45.8,0,0,0.0
3,97.7,12.50776006270592,59.0,0,11,0.0
4,96.8,12.50832396486787,26.4,0,10,0.0
5,95.7,12.513194028993798,77.3,0,9,0.0
6,95.8,12.515859748304834,37.8,0,9,0.0
7,99.8,12.515859748304834,32.6,0,10,0.0
8,96.7,12.515859748304834,28.8,0,10,0.0
9,99.7,12.517910301621013,49.8,0,11,0.0
10,96.5,12.519089369777817,11.6,0,10,0.0
11,95.7,12.521293714592712,77.4,0,8,0.0
12,93.8,12.524369544566982,13.4,0,8,0.0
13,94.7,12.527496638374158,19.3,0,8,0.0
14,95.7,12.527496638374158,36.1,0,7,0.0
15,93.8,12.527496638374158,18.1,0,8,0.0
16,95.8,12.527496638374158,33.4,0,7,0.0
17,95.8,12.530623732181331,32.4,0,8,0.0
18,95.8,12.530623732181331,36.5,0,8,0.0
19,94.8,12.530623732181331,14.8,0,8,0.0
20,95.8,12.533597034489793,76.7,0,7,0.0
21,92.8,12.536877919795684,37.6,0,7,0.0
22,92.8,12.540107541268666,36.2,0,6,0.0
23,95.7,12.543490954240365,71.1,0,7,0.0
24,93.8,12.543490954240365,36.8,0,6,0.0
25,93.8,12.543490954240365,59.0,0,6,0.0
26,94.8,12.543490954240365,33.7,0,6,0.0
27,91.8,12.543490954240365,33.7,0,5,0.0
28,90.8,12.550052724852142,27.5,0,5,0.0
29,92.8,12.550052724852142,53.9,0,5,0.0
30,91.5,12.550052724852142,85.2,0,5,0.0
31,94.7,12.553384873990936,12.6,0,6,0.0
32,81.5,12.553641193155457,33.7,0,5,0.0
33,81.8,12.553641193155457,65.0,0,6,0.0
34,94.8,12.557024606127158,11.9,0,7,0.0
35,95.8,12.557024606127158,29.1,0,6,0.0
36,96.8,12.557024606127158,28.1,0,7,0.0
37,97.8,12.557024606127158,29.9,0,8,0.0
38,97.7,12.557024606127158,22.4,0,7,0.0
39,96.8,12.56025422760014,42.8,0,7,0.0
40,99.6,12.56025422760014,10.8,0,9,0.0
41,97.7,12.56025422760014,28.0,0,8,0.0
42,98.7,12.56025422760014,28.2,0,8,0.0
43,96.8,12.56025422760014,57.6,0,7,0.0
44,97.7,12.563278793741507,28.5,0,8,0.0
45,94.8,12.563278793741507,72.1,0,7,0.0
46,94.8,12.563278793741507,33.0,0,8,0.0
47,93.7,12.563278793741507,75.0,0,7,0.0
48,96.8,12.563278793741507,32.3,0,9,0.0
49,96.8,12.565534402389305,13.0,0,6,0.0
50,95.2,12.565534402389305,20.5,0,8,0.0
51,95.8,12.565534402389305,68.1,0,8,0.0
52,94.7,12.565534402389305,25.7,0,7,0.0
53,96.7,12.565534402389305,65.6,0,8,0.0
54,94.7,12.565534402389305,11.6,0,6,0.0
55,94.7,12.565534402389305,32.5,0,8,0.0
56,97.7,12.565534402389305,32.6,0,9,0.0
57,97.8,12.565534402389305,15.1,0,8,0.0
58,98.8,12.565534402389305,78.7,0,8,0.0
59,98.8,12.565534402389305,36.6,0,8,0.0
60,58.9,12.565534402389305,11.7,0,5,0.0
