time_sec,cpu_pct,mem_pct,gpu_pct,gpu_mem_pct,interval_fps,rtt_ms
1,104.4,32.25617767634374,0.0,0,0,0.0
2,110.1,32.32410225494222,0.0,0,0,0.0
3,129.0,32.37915961148166,0.0,0,0,0.0
4,323.6,34.48723094818098,0.0,0,0,0.0
5,344.1,37.77534445450924,0.0,0,0,0.0
6,192.7,37.81435623134958,47.1,0,0,16.587263574074072
7,233.0,37.840193203133445,16.6,0,0,22.377782525
8,254.7,37.84654991841361,6.2,0,0,17.39731045283019
9,269.0,37.84654991841361,13.0,0,0,15.841457107142858
10,271.6,38.868853274195374,12.2,0,1,18.955693702127657
11,275.8,41.02213931151647,8.7,0,5,18.764668708333335
12,262.3,42.07463706487899,25.8,0,3,22.039024024999996
13,283.3,42.045262888624706,15.9,0,5,20.688755068181816
14,240.1,42.045262888624706,17.3,0,3,16.652203679245286
15,281.6,42.09078517224392,25.7,0,5,21.321080142857145
16,235.5,42.476442987184555,11.7,0,3,18.9866505106383
17,273.4,42.14184394981681,16.8,0,4,19.41616684782609
18,236.8,42.23401632137912,14.3,0,3,18.125430270833334
19,264.8,42.213100677554074,22.9,0,5,20.670936785714286
20,231.8,42.26385187212954,8.1,0,2,17.415620333333333
21,288.9,42.41128665556292,11.8,0,4,22.064233073170733
22,234.9,42.505560844274314,22.9,0,4,18.500599346938774
23,287.7,42.474597489199994,45.2,0,4,24.354993552631576
24,210.3,42.474597489199994,13.9,0,4,18.328344559999998
25,267.4,42.474597489199994,18.6,0,4,20.296151372093025
26,266.7,42.7428611267893,42.0,0,4,19.071179208333334
27,245.5,42.7428611267893,9.8,0,4,20.638697302325582
28,305.6,43.0122013048696,2.6,0,5,22.14679648780488
29,237.5,42.78889604873755,43.4,0,3,17.02568141509434
30,292.1,42.70436198827801,16.7,0,6,21.018070047619048
31,214.3,42.70436198827801,34.7,0,2,17.026941283018868
32,291.4,42.62408282594955,6.4,0,6,19.929493911111113
33,211.2,42.62408282594955,6.5,0,2,16.59921158490566
34,307.4,42.355819188360236,4.5,0,7,20.35903652380952
35,233.5,42.717793112498995,5.9,0,1,16.98264054716981
36,288.7,42.355921716026046,16.6,0,6,21.82184919047619
37,207.5,42.65361079370255,8.4,0,1,15.76420490909091
38,308.0,42.62423661744826,7.8,0,7,23.772315297297293
39,221.7,42.62423661744826,11.6,0,1,16.846770803921565
40,305.5,42.62423661744826,21.8,0,7,23.57896515
41,234.4,43.01666125833229,9.1,0,2,18.840404145833336
42,281.6,42.62423661744826,34.6,0,7,19.02934839130435
43,301.3,42.836981524001985,5.2,0,5,21.458262829268296
44,217.0,42.62387777061793,19.7,0,3,16.28740704255319
45,335.8,42.613727531702835,4.9,0,8,22.848221152173906
46,242.7,43.46275913226735,5.8,0,1,14.60784654385965
47,271.6,42.612650991211844,41.7,0,7,15.738540672727268
48,306.2,42.612650991211844,3.3,0,5,19.25064362222222
49,216.5,42.69380163869968,15.0,0,3,18.280339145833334
50,308.7,42.61936655332233,25.3,0,8,17.978668479166668
51,306.6,42.72389350861463,7.6,0,5,18.816765886363633
52,255.9,42.6190589703249,37.0,0,3,15.952721618181817
53,286.5,42.61388132320155,15.1,0,7,19.679797521739136
54,263.5,42.61388132320155,9.8,0,1,17.587365588235294
55,257.0,42.61388132320155,38.6,0,8,17.182899019230767
56,317.8,42.58768550458734,6.2,0,7,17.998514208333333
57,211.5,42.58773676842025,36.6,0,1,14.063980516129032
58,321.3,42.58778803225315,0.4,0,8,21.124104046511626
59,226.9,34.719917485734555,9.4,0,8,15.7253045
