time_sec,cpu_pct,mem_pct,gpu_pct,gpu_mem_pct,interval_fps,rtt_ms
1,104.3,12.685440507552956,59.1,0,13,0.0
2,101.8,12.685440507552956,4.3,0,11,0.0
3,103.7,12.685440507552956,18.4,0,10,0.0
4,102.8,12.685491771385863,47.8,0,11,0.0
5,104.8,12.686363256545238,18.0,0,11,0.0
6,104.7,12.686363256545238,63.2,0,12,0.0
7,103.7,12.686363256545238,60.1,0,12,0.0
8,102.7,12.686363256545238,13.1,0,9,0.0
9,103.8,12.686363256545238,57.8,0,10,0.0
10,102.8,12.686363256545238,17.8,0,9,0.0
11,103.7,12.686363256545238,47.1,0,9,0.0
12,103.8,12.686517048043951,61.4,0,9,0.0
13,103.7,12.686568311876856,18.2,0,9,0.0
14,102.7,12.686568311876856,15.9,0,9,0.0
15,104.8,12.686568311876856,38.6,0,9,0.0
16,103.7,12.686568311876856,2.3,0,8,0.0
17,103.6,12.686568311876856,13.0,0,9,0.0
18,103.7,12.686568311876856,0.0,0,7,0.0
19,104.3,12.686568311876856,55.3,0,8,0.0
20,103.7,12.686568311876856,53.4,0,7,0.0
21,101.8,12.686568311876856,9.7,0,6,0.0
22,102.7,12.686568311876856,17.8,0,7,0.0
23,103.7,12.686568311876856,0.0,0,6,0.0
24,102.8,12.686568311876856,60.2,0,7,0.0
25,102.7,12.686568311876856,19.0,0,7,0.0
26,104.8,12.68661957570976,0.0,0,9,0.0
27,102.7,12.68661957570976,0.0,0,8,0.0
28,103.7,12.68661957570976,0.0,0,8,0.0
29,103.7,12.68661957570976,59.2,0,8,0.0
30,102.7,12.686773367208474,54.9,0,8,0.0
31,104.8,12.686773367208474,6.6,0,9,0.0
32,102.7,12.686773367208474,18.3,0,10,0.0
33,102.7,12.686773367208474,18.9,0,9,0.0
34,104.7,12.686773367208474,17.8,0,9,0.0
35,102.8,12.686773367208474,18.0,0,8,0.0
36,102.8,12.686773367208474,54.4,0,9,0.0
37,102.8,12.686773367208474,40.8,0,9,0.0
38,102.8,12.686773367208474,58.3,0,10,0.0
39,103.7,12.686773367208474,18.4,0,10,0.0
40,104.7,12.686773367208474,6.3,0,9,0.0
41,102.7,12.686773367208474,12.4,0,10,0.0
42,104.7,12.686773367208474,20.7,0,9,0.0
43,102.7,12.686773367208474,42.6,0,8,0.0
44,104.8,12.686773367208474,8.8,0,9,0.0
45,104.7,12.686773367208474,15.1,0,10,0.0
46,105.8,12.686773367208474,42.9,0,10,0.0
47,104.7,12.686773367208474,4.2,0,10,0.0
48,106.7,12.686773367208474,53.6,0,9,0.0
49,105.7,12.686773367208474,0.0,0,9,0.0
50,106.8,12.686773367208474,0.0,0,9,0.0
51,101.7,12.686773367208474,8.8,0,9,0.0
52,86.7,12.686363256545238,29.9,0,8,0.0
53,93.8,12.686722103375569,39.9,0,9,0.0
54,90.6,12.686722103375569,7.2,0,8,0.0
55,94.7,12.686722103375569,32.2,0,8,0.0
56,95.7,12.686722103375569,32.7,0,8,0.0
57,97.8,12.686722103375569,18.3,0,8,0.0
58,100.6,12.686722103375569,16.2,0,8,0.0
59,100.7,12.686722103375569,0.0,0,9,0.0
60,13.9,12.686722103375569,0.0,0,2,0.0
