time_sec,cpu_pct,mem_pct,gpu_pct,gpu_mem_pct,interval_fps,rtt_ms
1,67.6,80.7,0,0,1,0.0
2,56.1,80.5,0,0,2,0.0
3,56.1,80.5,0,0,3,0.0
4,51.3,80.4,0,0,3,0.0
5,51.2,80.2,0,0,3,0.0
6,47.6,80.1,0,0,3,0.0
7,45.0,80.1,0,0,3,0.0
8,45.9,80.1,0,0,3,0.0
9,44.7,80.1,0,0,3,0.0
10,48.8,80.2,0,0,2,0.0
11,54.8,80.1,0,0,3,0.0
12,51.3,80.2,0,0,3,0.0
13,47.4,80.1,0,0,3,0.0
14,51.3,80.1,0,0,3,0.0
15,47.2,80.1,0,0,3,0.0
16,51.4,80.1,0,0,3,0.0
17,55.0,80.4,0,0,3,0.0
18,58.1,80.4,0,0,3,0.0
19,51.3,80.3,0,0,3,0.0
20,56.1,80.2,0,0,3,0.0
21,54.8,80.6,0,0,3,0.0
22,61.0,81.2,0,0,3,0.0
23,53.8,81.4,0,0,3,0.0
24,50.0,81.8,0,0,3,0.0
25,51.3,81.7,0,0,3,0.0
26,52.3,81.2,0,0,3,0.0
27,48.8,80.7,0,0,2,0.0
28,50.0,80.5,0,0,3,0.0
29,52.4,80.4,0,0,3,0.0
30,53.7,80.6,0,0,3,0.0
31,54.8,81.0,0,0,3,0.0
32,47.2,80.7,0,0,3,0.0
33,44.4,80.5,0,0,3,0.0
34,54.5,80.4,0,0,3,0.0
35,51.3,80.4,0,0,3,0.0
36,53.5,80.3,0,0,3,0.0
37,54.8,80.3,0,0,3,0.0
38,55.0,80.1,0,0,3,0.0
39,52.5,80.1,0,0,3,0.0
40,51.3,80.0,0,0,3,0.0
41,46.2,80.0,0,0,3,0.0
42,45.9,80.1,0,0,3,0.0
43,46.2,80.0,0,0,3,0.0
44,52.5,80.1,0,0,4,0.0
45,47.6,80.4,0,0,3,0.0
46,48.8,80.7,0,0,3,0.0
47,46.3,81.1,0,0,3,0.0
48,48.6,81.4,0,0,3,0.0
49,47.4,81.0,0,0,3,0.0
50,51.2,81.1,0,0,2,0.0
51,52.4,81.3,0,0,3,0.0
52,57.8,81.3,0,0,3,0.0
53,56.5,81.3,0,0,3,0.0
54,53.7,81.0,0,0,3,0.0
55,0.0,80.8,0,0,3,0.0
