time_sec,cpu_pct,mem_pct,gpu_pct,gpu_mem_pct,interval_fps,rtt_ms
1,105.7000,13.0160,92.4000,0,5,0.0000
2,93.7000,13.0197,63.5000,0,5,0.0000
3,91.8000,13.0230,98.0000,0,6,0.0000
4,93.8000,13.0230,56.4000,0,6,0.0000
5,100.8000,13.0210,82.2000,0,7,0.0000
6,94.7000,13.0210,49.1000,0,6,0.0000
7,87.6000,13.0212,53.1000,0,5,0.0000
8,94.8000,13.0212,9.9000,0,6,0.0000
9,94.8000,13.0212,13.8000,0,5,0.0000
10,87.8000,13.0212,64.8000,0,6,0.0000
11,95.9000,13.0283,33.0000,0,7,0.0000
12,93.9000,13.0283,47.1000,0,7,0.0000
13,96.8000,13.0283,10.6000,0,8,0.0000
14,94.8000,13.0283,58.4000,0,7,0.0000
15,89.8000,13.0283,94.4000,0,7,0.0000
16,89.8000,13.0287,50.6000,0,6,0.0000
17,97.8000,13.0287,88.7000,0,8,0.0000
18,97.8000,13.0287,2.6000,0,8,0.0000
19,90.7000,13.0287,25.0000,0,7,0.0000
20,94.9000,13.0287,98.0000,0,7,0.0000
21,89.8000,13.0287,98.6000,0,6,0.0000
22,94.8000,13.0287,68.5000,0,7,0.0000
23,81.9000,13.0295,51.4000,0,8,0.0000
24,93.8000,13.0295,0.0000,0,9,0.0000
25,83.8000,13.0297,75.7000,0,7,0.0000
26,86.7000,13.0297,70.6000,0,9,0.0000
27,84.9000,13.0201,1.7000,0,8,0.0000
28,81.8000,13.0235,1.8000,0,8,0.0000
29,85.9000,13.0333,85.4000,0,9,0.0000
30,86.8000,13.0336,58.5000,0,8,0.0000
31,79.9000,13.0354,98.0000,0,7,0.0000
32,84.9000,13.0354,45.1000,0,7,0.0000
33,87.8000,13.0381,16.8000,0,8,0.0000
34,85.7000,13.0381,61.9000,0,6,0.0000
35,77.8000,13.0409,78.7000,0,5,0.0000
36,89.8000,13.0418,0.0000,0,6,0.0000
37,91.8000,13.0438,79.6000,0,7,0.0000
38,80.9000,13.0438,0.0000,0,6,0.0000
39,82.8000,13.0438,30.7000,0,7,0.0000
40,86.9000,13.0438,98.2000,0,7,0.0000
41,90.8000,13.0456,17.3000,0,7,0.0000
42,81.9000,13.0456,27.5000,0,7,0.0000
43,84.8000,13.0456,55.9000,0,7,0.0000
44,85.8000,13.0487,35.7000,0,6,0.0000
45,87.8000,13.0487,13.9000,0,6,0.0000
46,87.8000,13.0487,95.3000,0,6,0.0000
47,74.8000,13.0518,62.1000,0,6,0.0000
48,80.8000,13.0449,51.2000,0,5,0.0000
49,83.7000,13.0449,28.2000,0,7,0.0000
50,79.9000,13.0481,60.6000,0,5,0.0000
51,79.8000,13.0489,33.5000,0,6,0.0000
52,81.8000,12.9974,59.3000,0,6,0.0000
53,86.8000,12.9974,57.4000,0,8,0.0000
54,84.8000,12.9974,40.2000,0,7,0.0000
55,86.7000,13.0004,47.1000,0,8,0.0000
56,90.8000,13.0004,66.5000,0,8,0.0000
57,84.8000,13.0034,45.6000,0,7,0.0000
58,86.8000,13.0034,37.0000,0,7,0.0000
59,84.8000,13.0034,97.8000,0,7,0.0000
60,43.9000,13.0065,20.8000,0,4,0.0000
