time_sec,cpu_pct,mem_pct,gpu_pct,gpu_mem_pct,interval_fps,rtt_ms
1,106.6000,13.4206,43.0000,0,4,0.0000
2,97.6000,13.4267,41.3000,0,4,0.0000
3,96.5000,13.4315,97.5000,0,4,0.0000
4,105.8000,13.4315,47.3000,0,5,0.0000
5,98.6000,13.4315,74.9000,0,4,0.0000
6,102.8000,13.4317,63.3000,0,5,0.0000
7,106.8000,13.4318,22.9000,0,6,0.0000
8,95.7000,13.4318,22.9000,0,3,0.0000
9,94.8000,13.4318,19.7000,0,5,0.0000
10,101.7000,13.4318,54.5000,0,4,0.0000
11,102.5000,13.4318,61.8000,0,5,0.0000
12,108.6000,13.4318,38.2000,0,6,0.0000
13,102.8000,13.4318,30.5000,0,5,0.0000
14,104.8000,13.4319,73.6000,0,6,0.0000
15,98.7000,13.4319,39.1000,0,5,0.0000
16,102.7000,13.4324,69.6000,0,4,0.0000
17,100.4000,13.4324,39.6000,0,6,0.0000
18,100.7000,13.4324,82.7000,0,5,0.0000
19,98.9000,13.4324,11.7000,0,5,0.0000
20,96.5000,13.4324,88.9000,0,4,0.0000
21,98.8000,13.4324,57.7000,0,5,0.0000
22,101.8000,13.4324,54.8000,0,5,0.0000
23,101.9000,13.4324,71.8000,0,6,0.0000
24,105.8000,13.4327,59.2000,0,6,0.0000
25,100.8000,13.4327,19.9000,0,5,0.0000
26,99.8000,13.4327,60.0000,0,5,0.0000
27,104.8000,13.4327,89.8000,0,5,0.0000
28,92.8000,13.4329,49.4000,0,5,0.0000
29,99.8000,13.4329,24.1000,0,5,0.0000
30,103.7000,13.4306,67.5000,0,5,0.0000
31,103.8000,13.4306,30.4000,0,6,0.0000
32,103.7000,13.4338,74.4000,0,5,0.0000
33,97.8000,13.4338,82.1000,0,4,0.0000
34,93.7000,13.4340,56.9000,0,4,0.0000
35,102.7000,13.4340,94.7000,0,6,0.0000
36,106.8000,13.4340,44.9000,0,6,0.0000
37,102.8000,13.4340,98.1000,0,6,0.0000
38,102.7000,13.4340,63.3000,0,5,0.0000
39,101.2000,13.4340,46.3000,0,6,0.0000
40,94.8000,13.4340,73.3000,0,5,0.0000
41,99.7000,13.4340,65.8000,0,5,0.0000
42,100.8000,13.4340,83.9000,0,5,0.0000
43,100.8000,13.4340,13.1000,0,5,0.0000
44,104.8000,13.4340,69.1000,0,6,0.0000
45,103.8000,13.4354,92.2000,0,5,0.0000
46,98.9000,13.4379,63.7000,0,4,0.0000
47,98.6000,13.4379,43.9000,0,3,0.0000
48,91.8000,13.4411,61.9000,0,3,0.0000
49,97.1000,13.4411,37.8000,0,4,0.0000
50,101.8000,13.4411,60.4000,0,4,0.0000
51,103.8000,13.4411,14.1000,0,4,0.0000
52,97.6000,13.4511,23.2000,0,5,0.0000
53,99.8000,13.4511,64.7000,0,4,0.0000
54,97.7000,13.4511,24.9000,0,4,0.0000
55,109.7000,13.4511,17.5000,0,5,0.0000
56,104.1000,13.4511,61.4000,0,6,0.0000
57,103.7000,13.4511,29.8000,0,4,0.0000
58,108.7000,13.4511,71.5000,0,5,0.0000
59,103.8000,13.4511,64.9000,0,5,0.0000
60,59.9000,13.4513,66.8000,0,3,0.0000
