time_sec,cpu_pct,mem_pct,gpu_pct,gpu_mem_pct,interval_fps,rtt_ms
1,55.2000,6.5036,8.4000,0,0,0.0000
2,77.8000,6.9355,78.9000,0,0,0.0000
3,56.9000,7.4056,60.4000,0,0,0.0000
4,67.7000,9.0522,74.1000,0,0,0.0000
5,69.9000,10.4335,39.1000,0,0,0.0000
6,64.9000,11.2234,13.8000,0,0,0.0000
7,70.8000,12.3026,37.0000,0,0,0.0000
8,78.8000,13.2937,32.7000,0,2,0.0000
9,102.7000,13.3089,48.7000,0,5,0.0000
10,96.8000,13.3089,39.1000,0,4,0.0000
11,102.8000,13.3138,21.7000,0,5,0.0000
12,97.8000,13.3138,88.9000,0,5,0.0000
13,101.8000,13.3131,47.7000,0,5,0.0000
14,102.8000,13.3157,75.8000,0,5,0.0000
15,102.8000,13.3157,96.8000,0,5,0.0000
16,99.8000,13.3157,60.4000,0,4,0.0000
17,96.3000,13.3170,64.0000,0,5,0.0000
18,100.8000,13.3170,84.3000,0,5,0.0000
19,102.4000,13.3170,36.0000,0,5,0.0000
20,107.7000,13.3170,22.8000,0,7,0.0000
21,105.7000,13.3170,23.8000,0,6,0.0000
22,101.7000,13.3201,19.5000,0,5,0.0000
23,94.5000,13.3201,55.4000,0,4,0.0000
24,103.4000,13.3235,67.0000,0,6,0.0000
25,103.7000,13.3235,86.6000,0,5,0.0000
26,100.8000,13.3235,35.9000,0,5,0.0000
27,101.6000,13.3235,40.9000,0,6,0.0000
28,96.6000,13.3235,43.7000,0,5,0.0000
29,100.7000,13.3268,11.9000,0,5,0.0000
30,97.6000,13.3268,88.7000,0,5,0.0000
31,105.4000,13.3268,49.3000,0,6,0.0000
32,103.7000,13.3268,47.0000,0,6,0.0000
33,101.5000,13.3297,23.8000,0,5,0.0000
34,102.2000,13.3297,25.9000,0,5,0.0000
35,93.6000,13.3297,73.7000,0,5,0.0000
36,102.8000,13.3297,97.9000,0,6,0.0000
37,105.8000,13.3301,71.4000,0,6,0.0000
38,99.5000,13.3301,82.9000,0,5,0.0000
39,97.7000,13.3334,13.4000,0,4,0.0000
40,102.7000,13.3334,49.0000,0,5,0.0000
41,105.8000,13.3334,19.8000,0,6,0.0000
42,103.5000,13.3334,28.7000,0,6,0.0000
43,101.7000,13.3401,15.7000,0,6,0.0000
44,102.5000,13.3312,32.3000,0,6,0.0000
45,96.8000,13.3345,80.7000,0,5,0.0000
46,103.8000,13.3413,56.8000,0,6,0.0000
47,96.7000,13.3413,97.6000,0,5,0.0000
48,105.6000,13.3413,17.6000,0,6,0.0000
49,104.7000,13.3447,54.9000,0,5,0.0000
50,101.7000,13.3447,12.4000,0,5,0.0000
51,99.6000,13.3447,29.5000,0,5,0.0000
52,100.5000,13.3447,24.9000,0,4,0.0000
53,98.8000,13.3447,57.9000,0,4,0.0000
54,102.8000,13.3447,14.9000,0,5,0.0000
55,103.6000,13.3447,62.5000,0,4,0.0000
56,100.7000,13.3447,75.1000,0,4,0.0000
57,97.8000,13.3447,31.7000,0,5,0.0000
58,98.4000,13.3447,96.4000,0,4,0.0000
59,110.7000,13.3455,28.8000,0,6,0.0000
60,85.6000,13.3455,17.8000,0,4,0.0000
