time_sec,cpu_pct,mem_pct,gpu_pct,gpu_mem_pct,interval_fps,rtt_ms
1,104.8000,13.4493,98.4000,0,6,0.0000
2,97.7000,13.4502,77.6000,0,4,0.0000
3,96.7000,13.4503,64.4000,0,4,0.0000
4,98.8000,13.4503,59.4000,0,4,0.0000
5,105.8000,13.4505,90.4000,0,5,0.0000
6,103.6000,13.4505,50.5000,0,4,0.0000
7,105.7000,13.4505,75.6000,0,5,0.0000
8,99.8000,13.4505,66.7000,0,4,0.0000
9,101.7000,13.4505,65.9000,0,4,0.0000
10,97.8000,13.4505,54.3000,0,5,0.0000
11,105.8000,13.4505,50.4000,0,5,0.0000
12,99.8000,13.4505,70.5000,0,5,0.0000
13,102.8000,13.4505,15.4000,0,5,0.0000
14,106.8000,13.4505,46.8000,0,6,0.0000
15,104.8000,13.4505,73.9000,0,5,0.0000
16,103.8000,13.4505,64.6000,0,6,0.0000
17,106.8000,13.4505,87.4000,0,6,0.0000
18,103.8000,13.4505,80.2000,0,5,0.0000
19,102.8000,13.4505,49.1000,0,5,0.0000
20,97.6000,13.4505,25.7000,0,5,0.0000
21,101.6000,13.4505,75.4000,0,4,0.0000
22,97.5000,13.4505,67.5000,0,4,0.0000
23,103.8000,13.4505,97.6000,0,6,0.0000
24,101.6000,13.4505,10.3000,0,6,0.0000
25,104.8000,13.4505,43.7000,0,6,0.0000
26,101.4000,13.4507,59.2000,0,5,0.0000
27,100.7000,13.4507,15.5000,0,5,0.0000
28,103.9000,13.4507,36.3000,0,5,0.0000
29,98.8000,13.4507,91.9000,0,5,0.0000
30,95.8000,13.4507,28.5000,0,5,0.0000
31,104.9000,13.4507,37.9000,0,6,0.0000
32,101.8000,13.4507,27.9000,0,4,0.0000
33,101.8000,13.4507,88.6000,0,4,0.0000
34,105.8000,13.4507,34.0000,0,6,0.0000
35,107.9000,13.4507,58.4000,0,6,0.0000
36,98.8000,13.4507,48.6000,0,6,0.0000
37,101.8000,13.4507,84.6000,0,5,0.0000
38,103.7000,13.4507,74.5000,0,7,0.0000
39,103.5000,13.4507,91.5000,0,6,0.0000
40,100.7000,13.4507,58.5000,0,5,0.0000
41,98.8000,13.4507,23.8000,0,5,0.0000
42,102.8000,13.4507,82.3000,0,6,0.0000
43,105.6000,13.4507,72.8000,0,6,0.0000
44,94.0000,13.4507,21.6000,0,4,0.0000
45,97.7000,13.4507,11.9000,0,4,0.0000
46,98.5000,13.4507,85.0000,0,4,0.0000
47,97.6000,13.4507,41.2000,0,3,0.0000
48,90.5000,13.4509,78.4000,0,4,0.0000
49,99.7000,13.4509,67.0000,0,4,0.0000
50,105.4000,13.4509,85.5000,0,5,0.0000
51,101.7000,13.4509,82.4000,0,4,0.0000
52,102.8000,13.4509,14.6000,0,5,0.0000
53,110.8000,13.4509,54.8000,0,6,0.0000
54,104.8000,13.4509,49.5000,0,4,0.0000
55,102.8000,13.4509,81.1000,0,5,0.0000
56,103.7000,13.4509,11.6000,0,4,0.0000
57,103.8000,13.4509,68.4000,0,6,0.0000
58,106.8000,13.4509,82.3000,0,5,0.0000
59,104.7000,13.4510,85.5000,0,5,0.0000
60,9.0000,13.4492,14.0000,0,1,0.0000
