time_sec,cpu_pct,mem_pct,gpu_pct,gpu_mem_pct,interval_fps,rtt_ms
1,100.4000,13.4576,43.3000,0,8,0.0000
2,96.8000,13.4584,78.1000,0,6,0.0000
3,91.7000,13.4584,97.8000,0,6,0.0000
4,97.8000,13.4584,15.7000,0,7,0.0000
5,100.6000,13.4584,59.1000,0,7,0.0000
6,91.8000,13.4584,74.8000,0,6,0.0000
7,94.8000,13.4586,71.5000,0,7,0.0000
8,98.8000,13.4586,33.5000,0,7,0.0000
9,100.8000,13.4587,73.4000,0,8,0.0000
10,94.8000,13.4587,48.3000,0,7,0.0000
11,91.8000,13.4588,13.3000,0,7,0.0000
12,99.8000,13.4588,17.3000,0,8,0.0000
13,97.8000,13.4588,69.3000,0,7,0.0000
14,94.8000,13.4588,28.4000,0,8,0.0000
15,93.8000,13.4588,28.4000,0,7,0.0000
16,91.8000,13.4588,52.9000,0,7,0.0000
17,96.5000,13.4588,62.5000,0,8,0.0000
18,95.8000,13.4588,38.1000,0,7,0.0000
19,95.7000,13.4590,67.9000,0,8,0.0000
20,93.9000,13.4590,40.3000,0,7,0.0000
21,98.8000,13.4590,93.2000,0,8,0.0000
22,94.9000,13.4590,48.3000,0,7,0.0000
23,96.7000,13.4590,26.9000,0,7,0.0000
24,99.5000,13.4590,76.3000,0,9,0.0000
25,96.7000,13.4590,79.6000,0,9,0.0000
26,92.8000,13.4590,93.7000,0,8,0.0000
27,92.8000,13.4590,45.3000,0,8,0.0000
28,91.8000,13.4590,64.6000,0,7,0.0000
29,96.8000,13.4590,47.6000,0,8,0.0000
30,98.9000,13.4592,65.2000,0,8,0.0000
31,95.8000,13.4592,28.1000,0,7,0.0000
32,95.8000,13.4592,69.0000,0,6,0.0000
33,88.8000,13.4592,59.9000,0,5,0.0000
34,94.8000,13.4592,98.3000,0,6,0.0000
35,90.8000,13.4592,96.4000,0,6,0.0000
36,95.7000,13.4592,18.3000,0,6,0.0000
37,97.8000,13.4592,57.6000,0,7,0.0000
38,102.8000,13.4592,67.3000,0,8,0.0000
39,95.8000,13.4592,30.8000,0,6,0.0000
40,98.8000,13.4592,72.8000,0,7,0.0000
41,99.8000,13.4592,25.5000,0,7,0.0000
42,92.8000,13.4592,27.2000,0,6,0.0000
43,93.8000,13.4592,78.0000,0,6,0.0000
44,94.8000,13.4592,23.7000,0,5,0.0000
45,94.8000,13.4592,63.9000,0,6,0.0000
46,100.8000,13.4592,53.8000,0,6,0.0000
47,95.8000,13.4592,36.2000,0,6,0.0000
48,87.8000,13.4592,98.2000,0,5,0.0000
49,88.9000,13.4592,41.6000,0,6,0.0000
50,96.7000,13.4592,80.7000,0,7,0.0000
51,95.5000,13.4595,30.8000,0,6,0.0000
52,92.8000,13.4595,97.3000,0,7,0.0000
53,89.8000,13.4595,70.0000,0,6,0.0000
54,92.8000,13.4595,65.4000,0,7,0.0000
55,96.8000,13.4595,70.2000,0,7,0.0000
56,94.8000,13.4595,26.1000,0,6,0.0000
57,99.8000,13.4595,60.3000,0,7,0.0000
58,88.8000,13.4595,12.8000,0,6,0.0000
59,90.9000,13.4595,77.3000,0,6,0.0000
60,19.0000,13.4595,61.9000,0,2,0.0000
