time_sec,cpu_pct,mem_pct,gpu_pct,gpu_mem_pct,interval_fps,rtt_ms
1,96.8000,13.4584,33.5000,0,7,0.0000
2,92.7000,13.4632,40.1000,0,6,0.0000
3,95.7000,13.4632,45.3000,0,6,0.0000
4,99.8000,13.4632,43.0000,0,7,0.0000
5,94.8000,13.4632,42.6000,0,7,0.0000
6,95.8000,13.4632,57.4000,0,6,0.0000
7,84.9000,13.4632,77.8000,0,5,0.0000
8,92.8000,13.4632,73.4000,0,6,0.0000
9,95.8000,13.4633,47.1000,0,7,0.0000
10,95.9000,13.4633,48.2000,0,8,0.0000
11,99.8000,13.4633,91.6000,0,8,0.0000
12,95.8000,13.4633,82.6000,0,7,0.0000
13,95.8000,13.4633,20.0000,0,8,0.0000
14,89.8000,13.4633,69.4000,0,6,0.0000
15,89.9000,13.4633,59.8000,0,7,0.0000
16,92.8000,13.4633,6.6000,0,7,0.0000
17,97.8000,13.4633,48.5000,0,8,0.0000
18,98.8000,13.4633,82.3000,0,8,0.0000
19,90.8000,13.4635,70.8000,0,7,0.0000
20,91.8000,13.4635,68.1000,0,7,0.0000
21,97.8000,13.4635,48.7000,0,7,0.0000
22,98.7000,13.4635,17.2000,0,8,0.0000
23,95.8000,13.4635,38.8000,0,7,0.0000
24,95.8000,13.4635,83.7000,0,8,0.0000
25,95.8000,13.4635,74.6000,0,8,0.0000
26,92.7000,13.4635,65.6000,0,8,0.0000
27,92.8000,13.4635,62.1000,0,8,0.0000
28,93.8000,13.4635,68.6000,0,8,0.0000
29,95.8000,13.4635,89.5000,0,8,0.0000
30,97.7000,13.4635,48.9000,0,8,0.0000
31,94.8000,13.4636,44.8000,0,7,0.0000
32,93.8000,13.4636,81.9000,0,7,0.0000
33,89.8000,13.4636,36.7000,0,5,0.0000
34,89.8000,13.4636,36.3000,0,5,0.0000
35,91.8000,13.4636,59.1000,0,6,0.0000
36,93.8000,13.4636,70.5000,0,6,0.0000
37,85.8000,13.4636,34.3000,0,5,0.0000
38,99.8000,13.4636,97.9000,0,8,0.0000
39,95.8000,13.4636,47.9000,0,7,0.0000
40,93.8000,13.4636,63.7000,0,6,0.0000
41,95.8000,13.4636,89.2000,0,6,0.0000
42,98.8000,13.4636,58.1000,0,7,0.0000
43,97.8000,13.4636,54.6000,0,7,0.0000
44,92.8000,13.4638,51.2000,0,6,0.0000
45,92.8000,13.4638,30.8000,0,5,0.0000
46,93.8000,13.4638,41.4000,0,6,0.0000
47,90.8000,13.4638,65.5000,0,6,0.0000
48,96.8000,13.4638,73.8000,0,6,0.0000
49,94.7000,13.4638,97.9000,0,6,0.0000
50,92.7000,13.4638,98.0000,0,6,0.0000
51,91.8000,13.4638,47.9000,0,6,0.0000
52,95.8000,13.4638,68.4000,0,7,0.0000
53,100.8000,13.4638,82.6000,0,7,0.0000
54,95.7000,13.4638,27.6000,0,7,0.0000
55,91.7000,13.4638,36.9000,0,7,0.0000
56,87.8000,13.4638,17.4000,0,6,0.0000
57,93.8000,13.4638,16.5000,0,6,0.0000
58,94.3000,13.4638,56.4000,0,7,0.0000
59,96.8000,13.4638,56.4000,0,7,0.0000
60,26.0000,13.4638,14.8000,0,2,0.0000
